iter	MultiClass
0	1.79009981
1	1.788511388
2	1.786971922
3	1.785418422
4	1.783879126
5	1.782503441
6	1.781086482
7	1.779669698
8	1.778303081
9	1.776968828
10	1.775634077
11	1.774359576
12	1.773134516
13	1.771900867
14	1.770651047
15	1.769484531
16	1.768306349
17	1.767172542
18	1.766070585
19	1.764980588
20	1.763869785
21	1.762784375
22	1.761729829
23	1.760689679
24	1.75971833
25	1.758722489
26	1.757711803
27	1.7567459
28	1.755823638
29	1.754885813
30	1.753986803
31	1.753105218
32	1.752200709
33	1.751329697
34	1.750483396
35	1.749651034
36	1.748822934
37	1.748021754
38	1.747166846
39	1.74636112
40	1.745605001
41	1.744835958
42	1.744106449
43	1.743333807
44	1.742588338
45	1.741898227
46	1.741223389
47	1.740536716
48	1.739848558
49	1.739166552
50	1.738512441
51	1.737878425
52	1.737250632
53	1.736645617
54	1.736010726
55	1.735421151
56	1.73481841
57	1.734204719
58	1.733656046
59	1.733050736
60	1.73247287
61	1.731893189
62	1.731354145
63	1.730796757
64	1.730291442
65	1.729771901
66	1.7292676
67	1.728754094
68	1.728271718
69	1.727777489
70	1.727266459
71	1.726813099
72	1.7263327
73	1.725841159
74	1.725386509
75	1.724929922
76	1.724432968
77	1.724016814
78	1.723547858
79	1.723077401
80	1.722658221
81	1.722234242
82	1.72181662
83	1.721346727
84	1.720940195
85	1.720536624
86	1.720113064
87	1.719702366
88	1.719304247
89	1.718851472
90	1.718499579
91	1.718136445
92	1.71771434
93	1.71733662
94	1.716960518
95	1.716580249
96	1.716234462
97	1.715852365
98	1.715503151
99	1.715138082
100	1.714797141
101	1.714474191
102	1.714174203
103	1.713863787
104	1.71352358
105	1.713199683
106	1.712836879
107	1.712481603
108	1.712167448
109	1.711876293
110	1.711571854
111	1.711258471
112	1.710934917
113	1.710645706
114	1.710376308
115	1.710083456
116	1.709747166
117	1.70943621
118	1.709153805
119	1.708872339
120	1.708560654
121	1.708259308
122	1.707969152
123	1.707680158
124	1.707387914
125	1.707109912
126	1.706828897
127	1.706550323
128	1.706316094
129	1.70607482
130	1.705801839
131	1.705535501
132	1.705288361
133	1.705070477
134	1.704793984
135	1.704569363
136	1.704336305
137	1.704092082
138	1.703842817
139	1.703564872
140	1.70329485
141	1.703045724
142	1.702840331
143	1.702593752
144	1.70232547
145	1.702135295
146	1.701879874
147	1.701683552
148	1.70142632
149	1.701226505
150	1.701000459
151	1.700764523
152	1.700534009
153	1.700321128
154	1.700088483
155	1.699906755
156	1.699697607
157	1.699481805
158	1.699231948
159	1.699032224
160	1.698843351
161	1.698682547
162	1.698464017
163	1.698288344
164	1.698087119
165	1.697905356
166	1.697719203
167	1.697522595
168	1.697330332
169	1.697155685
170	1.696949509
171	1.696759364
172	1.696579071
173	1.696399579
174	1.696229806
175	1.696057034
176	1.695892416
177	1.695689265
178	1.695530023
179	1.695375973
180	1.695224844
181	1.695056428
182	1.694894103
183	1.694729154
184	1.694544909
185	1.694386193
186	1.694213561
187	1.693999
188	1.693820555
189	1.693627316
190	1.693445565
191	1.693277375
192	1.693116259
193	1.692934921
194	1.692778948
195	1.692638264
196	1.692458111
197	1.692303414
198	1.692091257
199	1.691935344
200	1.691765171
201	1.691626115
202	1.691468486
203	1.691316553
204	1.691172075
205	1.691001471
206	1.690841796
207	1.690664015
208	1.690532636
209	1.690359884
210	1.690177789
211	1.690060542
212	1.68989736
213	1.689791755
214	1.689660892
215	1.689500296
216	1.68932305
217	1.6891918
218	1.689060569
219	1.688907627
220	1.688774791
221	1.688589515
222	1.68844504
223	1.688271935
224	1.688099574
225	1.687974361
226	1.687850936
227	1.68771221
228	1.687578029
229	1.687431757
230	1.687291008
231	1.687152213
232	1.687028746
233	1.686871983
234	1.68677469
235	1.686649052
236	1.686500773
237	1.686374593
238	1.686250441
239	1.686124843
240	1.68595624
241	1.68581393
242	1.685631401
243	1.685469371
244	1.685340028
245	1.685231333
246	1.685102687
247	1.684978615
248	1.684857465
249	1.684690994
250	1.684555354
251	1.684460395
252	1.68431237
253	1.684213255
254	1.684062118
255	1.683875053
256	1.683758735
257	1.683573198
258	1.683439246
259	1.683325009
260	1.683196457
261	1.683039567
262	1.682913196
263	1.682750866
264	1.682644764
265	1.682515669
266	1.68238552
267	1.682244112
268	1.682123359
