iter	Passed	Remaining
0	1943	1941150
1	3710	1851318
2	5469	1817753
3	7247	1804590
4	9162	1823359
5	10860	1799273
6	12579	1784550
7	14268	1769343
8	16103	1773211
9	17905	1772639
10	19652	1766939
11	21440	1765287
12	23159	1758346
13	24875	1751936
14	26550	1743494
15	28236	1736540
16	29923	1730290
17	31606	1724302
18	33299	1719313
19	35093	1719579
20	36859	1718337
21	38519	1712359
22	40200	1707630
23	41847	1701810
24	43510	1696907
25	45176	1692387
26	46890	1689805
27	48592	1686857
28	50294	1683995
29	52013	1681757
30	53706	1678766
31	55413	1676263
32	57226	1676923
33	58951	1674928
34	60693	1673416
35	62353	1669692
36	64103	1668423
37	65783	1665363
38	67500	1663282
39	69215	1661177
40	70876	1657809
41	72549	1654822
42	74231	1652090
43	75917	1649489
44	77682	1648600
45	79397	1646645
46	81088	1644208
47	82785	1641905
48	84471	1639428
49	86171	1637263
50	88081	1638998
51	89927	1639452
52	91663	1637834
53	93403	1636283
54	95057	1633260
55	96788	1631577
56	98471	1629097
57	100226	1627820
58	102051	1627631
59	103820	1626523
60	105571	1625104
61	107291	1623216
62	109104	1622712
63	110893	1621820
64	112621	1620019
65	114444	1619561
66	116195	1618067
67	117957	1616708
68	119710	1615226
69	121412	1613052
70	123232	1612430
71	124925	1610148
72	126683	1608703
73	128432	1607143
74	130149	1605183
75	131933	1604033
76	133643	1601987
77	135329	1599661
78	137060	1597884
79	138768	1595837
80	140426	1593231
81	142081	1590614
82	143728	1587935
83	145468	1586296
84	147224	1584824
85	148958	1583121
86	150667	1581147
87	152407	1579500
88	154152	1577898
89	155939	1576717
90	157689	1575162
91	159400	1573213
92	161071	1570883
93	162754	1568680
94	164444	1566553
95	166254	1565564
96	168080	1564708
97	169901	1563788
98	171716	1562795
99	173463	1561171
100	175164	1559134
101	176817	1556683
102	178472	1554270
103	180152	1552079
104	181876	1550279
105	183594	1548431
106	185364	1547017
107	187112	1545412
108	188860	1543801
109	190673	1542722
110	192377	1540756
111	194129	1539166
112	195853	1537364
113	197553	1535368
114	199197	1532951
115	200862	1530713
116	202554	1528682
117	204318	1527194
118	206002	1525112
119	207666	1522884
120	209370	1520966
121	211114	1519329
122	212822	1517443
123	214618	1516177
124	216315	1514211
125	218066	1512620
126	220032	1512505
127	221830	1511222
128	223603	1509760
129	225418	1508571
130	227253	1507509
131	229004	1505879
132	230776	1504383
133	232589	1503155
134	234485	1502442
135	236294	1501165
136	238050	1499547
137	239843	1498150
138	241575	1496380
139	243342	1494820
140	245114	1493288
141	246833	1491428
142	248673	1490303
143	250465	1488878
144	252192	1487066
145	253932	1485328
146	255844	1484593
147	257628	1483106
148	259437	1481755
149	261170	1479967
150	262892	1478120
151	264678	1476624
152	266341	1474454
153	268061	1472598
154	269820	1470957
155	271626	1469570
156	273324	1467596
157	275141	1466258
158	276917	1464700
159	278639	1462858
160	280383	1461127
161	282056	1459032
162	283848	1457551
163	285654	1456139
164	287429	1454568
165	289175	1452844
166	290871	1450872
167	292623	1449180
168	294335	1447294
169	296083	1445582
170	297793	1443689
171	299505	1441803
172	301269	1440170
173	302943	1438112
174	304622	1436078
175	306271	1433907
176	307942	1431843
177	309620	1429820
178	311268	1427661
179	312997	1425876
180	314782	1424346
181	316628	1423090
182	318322	1421146
183	320065	1419422
184	321885	1418037
185	323650	1416404
186	325332	1414412
187	327009	1412401
188	328742	1410633
189	330524	1409079
190	332292	1407459
191	333958	1405407
192	335623	1403358
193	337298	1401351
194	339048	1399659
195	340743	1397744
196	342555	1396304
197	344391	1394958
198	346147	1393287
199	347883	1391535
200	349541	1389472
201	351279	1387727
202	353045	1386094
203	354849	1384608
204	356538	1382674
205	358203	1380649
206	359908	1378778
207	361624	1376955
208	363334	1375108
209	365080	1373396
210	366867	1371839
211	368550	1369896
212	370291	1368164
213	371969	1366204
214	373688	1364397
215	375411	1362604
216	377116	1360746
217	378813	1358863
218	380503	1356957
219	382221	1355150
220	383876	1353121
221	385599	1351335
222	387386	1349772
223	389266	1348530
224	391069	1347016
225	392774	1345164
226	394437	1343171
227	396127	1341274
228	397805	1339337
229	399461	1337327
230	401136	1335385
231	402888	1333700
232	404565	1331767
233	406229	1329795
234	407867	1327737
235	409533	1325778
236	411255	1323998
237	412994	1322275
238	414659	1320316
239	416305	1318302
240	418192	1317047
241	419970	1315444
242	421794	1313985
243	423482	1312100
244	425184	1310263
245	426880	1308405
246	428574	1306543
247	430256	1304650
248	432018	1302996
249	433777	1301333
250	435476	1299488
251	437088	1297388
252	438732	1295387
253	440354	1293323
254	442083	1291577
255	443811	1289828
256	445465	1287863
257	447253	1286285
258	448952	1284454
259	450663	1282656
260	452397	1280925
261	454167	1279297
262	455882	1277511
263	457618	1275785
264	459413	1274221
265	461212	1272667
266	462882	1270760
267	464577	1268921
268	466308	1267180
269	467994	1265317
270	469665	1263416
271	471359	1261581
272	473089	1259839
273	474821	1258104
274	476615	1256530
275	478372	1254861
276	480025	1252917
277	481676	1250973
278	483401	1249220
279	485112	1247433
280	486893	1245824
281	488634	1244112
282	490388	1242432
283	492091	1240626
284	493761	1238736
285	495505	1237029
286	497150	1235081
287	498837	1233236
288	500595	1231567
289	502321	1229821
290	504023	1228015
291	505766	1226310
292	507415	1224378
293	509079	1222482
294	510701	1220490
295	512354	1218572
296	514028	1216706
297	515745	1214944
298	517420	1213083
299	519174	1211406
300	521004	1209907
301	522739	1208185
302	524439	1206383
303	526134	1204570
304	527831	1202762
305	529571	1201054
306	531304	1199328
307	533046	1197625
308	534862	1196083
309	536608	1194385
310	538279	1192522
311	539982	1190730
312	541701	1188974
313	543467	1187321
314	545193	1185579
315	546948	1183900
316	548748	1182319
317	550521	1180679
318	552257	1178956
319	554085	1177430
