Weight,Feature
0.0137 ± 0.0006,Crash_Speed_Limit
0.0085 ± 0.0001,HSYS_CR
0.0039 ± 0.0003,Time_Night/Early_Morning
0.0018 ± 0.0003,LN_MILES
0.0016 ± 0.0002,PCT_PK_CUT
0.0014 ± 0.0001,precip_hrly
0.0013 ± 0.0002,MOTORCYCLE
0.0012 ± 0.0003,Day_Sunday
0.0011 ± 0.0002,INCRS_FCTR
0.0011 ± 0.0003,RU_2
0.0009 ± 0.0001,D_FAC
0.0008 ± 0.0002,vis
0.0008 ± 0.0003,PCT_SADT
0.0006 ± 0.0002,HSYS_LS
0.0005 ± 0.0002,wspd
0.0005 ± 0.0001,PCT_PK_SUT
0.0003 ± 0.0002,TRK_AADT_P
0.0002 ± 0.0003,HSYS_IH
0.0001 ± 0.0002,PCT_CADT
0.0001 ± 0.0000,HSYS_TL
0.0001 ± 0.0001,MED_TYPE_5.0
0.0001 ± 0.0001,HSYS_RM
0.0001 ± 0.0003,Day_Saturday
0.0001 ± 0.0001,HSYS_FM
0.0000 ± 0.0000,HSYS_US
0.0000 ± 0.0001,HSYS_SH
0.0000 ± 0.0000,RU_F_SYSTE_R3
0.0000 ± 0.0001,HSYS_SL
0.0000 ± 0.0000,Day_Wednesday
0.0000 ± 0.0000,HSYS_BS
0.0000 ± 0.0000,RU_F_SYSTE_R1
0.0000 ± 0.0001,DVMT
0.0000 ± 0.0000,RU_F_SYSTE_R4
0.0000 ± 0.0000,MED_TYPE_3.0
0.0000 ± 0.0000,RU_F_SYSTE_U6
0.0000 ± 0.0000,Day_Monday
0.0000 ± 0.0000,RU_F_SYSTE_R6
0.0000 ± 0.0000,HSYS_UA
